root	gloss_head	matched_covered_word	gloss_zipf	inv_tier	prod	gloss
turment	distressing	painful	3.2	core	7	distressing, painful, unbearable
agitaci	agitation	excitement	3.19	tail	1	agitation, excitement, flutter
epoĥ	epoch	period	3.19	tail	1	epoch, era, period
mondaĝ	epoch	period	3.19	tail	1	epoch, period (geological)
tempaĝ	epoch	period	3.19	tail	1	epoch, period (geological)
terminar	glossary	phrase	3.19	extended	2	glossary, terminology, nomenclature, phrase list
abstinenc	abstinence	total	3.18	extended	2	abstinence, teetotalism, total abstinence
enpaĝ	inline	in-page	3.18	extended	2	inline, in-page
markez	marquee	shed	3.18	tail	1	marquee, penthouse, shed
pundom	penitentiary	prison	3.18	tail	1	penitentiary, prison
ru	ret	steep	3.18	tail	1	to ret, steep
trankvilsangec	composure	presence	3.18	tail	1	composure, equanimity, presence of mind, sang-froid
flankeniĝ	deflect	wander	3.17	tail	1	to deflect, diverge, wander
grimpkreskaĵ	climber	climbing-plant	3.17	tail	1	climber, climbing-plant
grimpoplant	climber	plant	3.17	tail	1	climber, climbing- plant
hub	croft	hide	3.17	tail	1	croft, hide
morn	desolate	gloomy	3.17	extended	2	desolate, dismal, dreary, gaunt, gloomy, mournful
mortkitel	shroud	winding	3.17	tail	1	shroud, winding sheet
nekomprenebl	incomprehensible	inconceivable	3.17	extended	2	incomprehensible, inconceivable, unintelligible
neprudent	cavalier	reckless	3.17	extended	2	cavalier, impetuous, imprudent, reckless, unwise
precioz	pretentious	affected	3.17	tail	1	pretentious, affected
ĵoker	wildcard	pattern-matching	3.17	tail	1	wildcard, pattern-matching
ĵokersign	wildcard	character	3.17	tail	1	wildcard, wildcard character
ĵokervort	wildcard	character	3.17	tail	1	wildcard, wildcard character
ŝal	shawl	wrap	3.17	core	3	shawl, wrap
blat	cockroach	chip	3.16	extended	2	cockroach, chip
plivastig	amplify	extend	3.16	tail	1	to amplify, extend
vojplan	roadmap	route	3.16	tail	1	roadmap, route
artifik	contrived	complex	3.15	core	6	contrived, sophisticated, complex, tricky
naztabak	snuff	sniffing	3.15	tail	1	snuff, sniffing tobacco
skeĉ	skit	sketch	3.15	tail	1	skit, sketch
deturn	avert	lead	3.14	tail	1	to avert, lead astray, turn away, ward off, detour
kantor	cantor	member	3.14	tail	1	cantor, choir member
leĝoscienc	jurisprudence	law	3.14	tail	1	jurisprudence, law, legal science
anar	adherents	following	3.13	tail	1	adherents, disciples, following, party, supporters, company, troop, membership
domicil	abode	place	3.13	tail	1	abode, dwelling place, residence
hosti	wafer	host	3.13	extended	2	wafer, host (Eucharist)
laktoz	lactose	milk	3.13	tail	1	lactose, milk sugar
loĝlok	abode	place	3.13	tail	1	abode, dwelling place, residence
parentez	parentheses	compound	3.13	tail	1	in parentheses, compound (statement)
forced	relinquish	yield	3.12	tail	1	to relinquish, yield
forofer	relinquish	offer	3.12	tail	1	to relinquish, offer up
ŝipruin	shipwreck	wrecked	3.11	tail	1	shipwreck, wrecked ship
aerveturad	aeronautics	air	3.1	tail	1	aeronautics, aviation, air travel
bradip	sloth	three-toed	3.1	tail	1	sloth, three-toed sloth
eltir	elicit	pull	3.1	core	4	to elicit, pull out, reclaim, extract
