root	gloss_head	gloss_zipf	suggested_tier	inv_tier	prod	gloss
cist	cyst	3.12	3	extended	2	cyst
filantrop	philanthropist	3.12	3	extended	2	philanthropist
indignig	aggravating	3.12	3	extended	2	aggravating
ĉifr	cipher	3.12	3	core	6	to cipher, encipher, encrypt, encode
handbal	handball	3.11	3	extended	2	handball
imunologi	immunology	3.11	3	extended	2	immunology
kontraband	smuggle	3.11	3	core	4	to smuggle
korod	corrosive	3.11	3	core	4	corrosive
lut	solder	3.11	3	core	3	to solder
manpilk	handball	3.11	3	extended	2	handball
mant	mantis	3.11	3	extended	2	mantis
mops	pug	3.11	3	extended	2	pug
burlesk	burlesque	3.1	3	core	3	burlesque
degn	condescending	3.1	3	extended	2	condescending
monaĥ	monastic	3.1	3	core	8	monastic
ogr	ogre	3.1	3	extended	2	ogre
tempopasig	pastime	3.1	3	extended	2	pastime
travesti	burlesque	3.1	3	extended	2	to burlesque, parody
akordion	accordion	3.09	3	extended	2	accordion
inert	inert	3.09	3	extended	2	inert
lumb	lumbar	3.09	3	extended	2	lumbar
propag	propagate	3.09	3	extended	2	to propagate
totem	totem	3.09	3	extended	2	totem
heterogen	heterogeneous	3.08	3	extended	2	heterogeneous
irit	irritate	3.08	3	extended	2	to irritate
pantofl	slipper	3.08	3	extended	2	slipper
vidbend	videotape	3.08	3	extended	2	videotape
apotek	drugstore	3.07	3	extended	2	drugstore, pharmacy, chemist
celkonform	purposeful	3.07	3	extended	2	purposeful, intentional
kondens	compress	3.07	3	core	5	to compress
pedagogi	pedagogical	3.07	3	extended	2	pedagogical
poligami	polygamy	3.07	3	extended	2	polygamy
popl	poplar	3.07	3	core	3	poplar
pub	pubic	3.07	3	core	3	pubic
alo	aloe	3.06	3	core	3	aloe
anestez	anesthetic	3.06	3	core	5	anesthetic
hepat	hepatic	3.06	3	core	3	hepatic
inkognit	incognito	3.06	3	extended	2	incognito
ksenofobi	xenophobic	3.06	3	extended	2	xenophobic
mim	mime	3.06	3	extended	2	to mime
mitologi	mythological	3.06	3	extended	2	mythological
