root	bucket	covered_tiers	inv_tier	prod	gloss_head	gloss_zipf	suggested_tier	matched_word	gloss
eb	obscure_root		tail	1	ebb	3.04			to ebb
eben	covered_T1_3	2	core	8		0.0			even, flat, level, smooth
ebenavoj	obscure_root		tail	1		0.0			smoothly (of a path, road)
ebenbatit	obscure_root		tail	1	beaten	0.0			beaten flat
ebenigil	obscure_root		tail	1	roller	3.99			roller
ebl	covered_T1_3	1/2/3	core	3		0.0			possible
ebon	candidate_gap		core	3	ebony	3.34	3		ebony
ebonarb	obscure_root		tail	1	ebony	0.0			ebony tree
ebonkolor	obscure_root		tail	1	ebony	3.34			ebony
ebri	covered_T1_3	2	core	9		0.0			drunk, intoxicated, tipsy, inebriated
ebrigaĵ	obscure_root		tail	1	intoxicating	0.0			intoxicating liquor
ebul	obscure_root		tail	1	danewort	0.0			danewort, dwarf elder
ebur	obscure_root		tail	1	ivory	3.85			ivory
eburkolor	obscure_root		tail	1	ivory-colored	0.0			ivory-colored
eburmev	obscure_root		tail	1	ivory	0.0			ivory gull
ec	covered_T1_3	3	tail	1		0.0			property, quality, attribute, qualification
ecar	obscure_root		tail	1	property	0.0			property set
ecidi	obscure_root		tail	1	aecidium	0.0			aecidium, aecium
ecig	obscure_root		tail	1	qualify	4.19			to qualify
ecodifin	obscure_root		tail	1	property	0.0			property definition
ecokamp	obscure_root		tail	1	property	0.0			property fields
econom	obscure_root		tail	1	property	0.0			property name
ecuj	obscure_root		tail	1	property	0.0			property bag
ed	obscure_root		tail	1	edh	1.95			edh, eth
edelvejs	obscure_root		tail	1	edelweiss	2.39			edelweiss
edem	obscure_root		tail	1	edema	2.95			edema
eden	covered_T1_3	2	tail	1		0.0			paradise
edif	obscure_root		tail	1	edify	1.96			to edify
edikt	obscure_root		tail	1	decree	3.82			decree, edict
edil	obscure_root		tail	1	aedile	1.44			aedile
editist	obscure_root		tail	1	editor	4.62			editor
editor	obscure_root		tail	1	edit	4.3			to edit
edr	obscure_root		tail	1	face	5.45			face
eduk	covered_T1_3	2	core	11		0.0			educational
edukart	obscure_root		tail	1	pedagogy	3.12			pedagogy
eduknivel	obscure_root		tail	1	educational	0.0			educational level
eduksistem	obscure_root		tail	1	education	0.0			education system, school system
edvard	obscure_root		tail	1	edward	0.0			Edward
edz	covered_T1_3	1	core	18		0.0			marriage, of marriage
edzin	covered_T1_3	1/2	core	8		0.0			of a wife, wifely
edziniĝantin	obscure_root		tail	1	bride	4.08			bride
edzinmurd	obscure_root		tail	1	murder	0.0			murder of one’s wife
edzinmurdint	obscure_root		extended	2	wife	0.0			wife killer
edziĝ	covered_T1_3	1/2	core	7		0.0			nuptial
edziĝanonc	obscure_root		extended	2	banns	2.02			banns, wedding announcement
edziĝfest	obscure_root		tail	1	wedding	0.0			wedding feast, wedding-party
edziĝofest	obscure_root		tail	1	wedding	4.83			wedding
edziĝopropon	obscure_root		tail	1	offer	0.0			offer of marriage, proposal
edziĝovojaĝ	obscure_root		tail	1	honeymoon	3.68			honeymoon
edziĝpet	obscure_root		tail	1	offer	5.05			offer, offer of marriage
edziĝpropon	obscure_root		tail	1	offer	5.05			offer, offer of marriage, proposal
edzomurd	obscure_root		tail	1	murder	0.0			murder of one’s spouse
edzomurdint	obscure_root		extended	2	husband	0.0			husband murderer
efekt	obscure_root		core	4	showy	2.79			showy
efektiv	covered_T1_3	2	core	4		0.0			actual, real, effective, effectual, true
efektivig	obscure_root		core	4	accomplish	4.05			to accomplish, achieve, act out, effect, realize, perform, bring about
efemer	obscure_root		core	4	ephemeral	2.99			ephemeral
efemered	obscure_root		tail	1	dayflies	0.0			dayflies, mayflies
efemermemoril	obscure_root		tail	1	scratch-pad	0.0			scratch-pad memory
efermer	obscure_root		tail	1	ephemeral	2.99			ephemeral
eferversk	covered_T1_3	2	tail	1		0.0			bubbly
efervesk	obscure_root		tail	1	effervescent	2.51			effervescent, fizzy
efesan	obscure_root		tail	1	ephesian	0.0			Ephesian
efezan	obscure_root		tail	1	ephesian	0.0			Ephesian
efik	covered_T1_3	2/3	core	6		0.0			effective, effectual, efficacious
efikigad	obscure_root		tail	1	enforcement	4.45			enforcement
efloresk	obscure_root		tail	1	efflorescent	1.08			efflorescent
efluv	obscure_root		tail	1	effluvium	1.51			effluvium, discharge
efod	obscure_root		tail	1	ephod	1.59			ephod
efrit	obscure_root		tail	1	afreet	0.0			afreet, afrite
