en_lemma	decision	note	eo_root_override	eo_word_override	source	reason	ts
crystal	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
floppy	accept	translation: flexible			human	imported from xlsx column I	2026-07-04T21:49:54+00:00
mug	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
bun	reject				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
elf	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
whisker	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
curiosity	accept	translation: (kuriozajo)			human	imported from xlsx column I	2026-07-04T21:49:54+00:00
ladybug	accept	translation: ladybug beetle			human	imported from xlsx column I	2026-07-04T21:49:54+00:00
melody	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
flora	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
parrot	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
rob	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
rover	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
holly	accept	translation (sanktaj)			human	imported from xlsx column I	2026-07-04T21:49:54+00:00
nectar	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
nutty	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
rusty	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
shannon	reject				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
snail	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
temple	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
brownie	accept	translation: brown cake			human	imported from xlsx column I	2026-07-04T21:49:54+00:00
bumpy	accept	several translations: round shape,  ball jumpy, not smooth			human	imported from xlsx column I	2026-07-04T21:49:54+00:00
ginger	accept	translation: red hair (rugaj)			human	imported from xlsx column I	2026-07-04T21:49:54+00:00
maya	reject				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
nick	reject				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
noon	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
ashtray	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
bin	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
crow	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
navy	accept	two meanings: color navy, fleet navy			human	imported from xlsx column I	2026-07-04T21:49:54+00:00
pippin	reject				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
strip	accept	translation: strip of something - fabric, flag, grass, paper (strio)			human	imported from xlsx column I	2026-07-04T21:49:54+00:00
willow	accept	translation: willow tree			human	imported from xlsx column I	2026-07-04T21:49:54+00:00
wizard	accept	translation: magic man (sorcisto)			human	imported from xlsx column I	2026-07-04T21:49:54+00:00
awake	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
bongo	accept	translation: drum			human	imported from xlsx column I	2026-07-04T21:49:54+00:00
pinky	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
ruby	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
speedy	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
startle	accept	translation: (konsternis, konsterno, konsternita)			human	imported from xlsx column I	2026-07-04T21:49:54+00:00
acceptor	accept	?			human	imported from xlsx column I	2026-07-04T21:49:54+00:00
maple	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
mosquito	accept	translation (moskito)			human	imported from xlsx column I	2026-07-04T21:49:54+00:00
pudding	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
beaver	accept	translation (kastoro)			human	imported from xlsx column I	2026-07-04T21:49:54+00:00
buddy	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
buggy	accept	translation (cimo)			human	imported from xlsx column I	2026-07-04T21:49:54+00:00
carol	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
kin	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
shoo	accept	translation: shoo away			human	imported from xlsx column I	2026-07-04T21:49:54+00:00
ana	reject				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
auntie	accept	translation (onklino)			human	imported from xlsx column I	2026-07-04T21:49:54+00:00
chad	reject				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
jasmine	reject				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
