en_lemma	base_word	total_freq	band	final_eo_root	final_eo_word	eo_gloss	gloss_source	anchor_source	tier_basis	proposed_tier	review_flag	note
willow	willow	10	P1_name	salik	saliko	willow	espdic	worksheet-proposed	freq	2		translation: willow tree
awake	awake	9	P1_name	vek	veka	awake	espdic	worksheet-proposed	freq	2		
bongo	bongo	9	P1_name	bong	bongo	bongo (drum)	espdic	worksheet-proposed	freq	2		translation: drum
pinky	pinky	9	P1_name	etfingr	etfingro	little finger, pinky (finger)	espdic	worksheet-proposed	freq	2		
ruby	ruby	9	P1_name	ruben	rubeno	ruby	espdic	worksheet-proposed	freq	2		
speedy	speedy	9	P1_name	rapid	rapida	brisk, quick, rapid, speedy, swift, hasty, prompt, fast, high-speed	espdic	worksheet-proposed	freq	2		
startle	startle	9	P1_name	ektrem	ektremi	to start, startle	espdic	worksheet-proposed	freq	2		translation: (konsternis, konsterno, konsternita)
mosquito	mosquito	8	P1_name	kul	kulo	gnat, mosquito	espdic	worksheet-proposed	freq	2		translation (moskito)
pudding	pudding	8	P1_name	puding	pudingo	pudding	espdic	worksheet-proposed	freq	2		
buddy	buddy	7	P1_name	kamarad	kamarado	buddy, companion, comrade, pal, mate, chum	espdic	worksheet-proposed	freq	2		
carol	carol	7	P1_name	karol	karolo	carol	espdic	worksheet-proposed	freq	2		
kin	kin	7	P1_name	gent	gento	clan, ethnic group, genus, tribe, family, kin, race, people	espdic	worksheet-proposed	freq	2		
shoo	shoo	7	P1_name	huŝ	huŝi	to shoo, shish (in order to scare away small animals)	espdic	worksheet-proposed	freq	2		translation: shoo away
