decision	review_flag	en_word	fold	anchor_root	all_roots	root_detail	eo_word	proposed_tier	gloss_zipf	gloss	note
approve		bankrupt	standalone	bankrot	bankrot		bankroto	3	3.73	bankrupt	
approve		proxy	standalone	prokur	prokur		prokuro	3	3.73	proxy	
approve		miniature	standalone	miniatur	miniatur		miniaturo	3	3.72	miniature	
approve		motto	standalone	mot	mot		moto	3	3.72	motto	
approve	standalone adj (your rule)	radioactive	derived_adj	radioaktiv	radioaktiv		radioaktiva	2	3.72	radioactive	derived adjective — confirm noun anchor / eo_word
approve		apex	standalone	vertic	vertic		vertico	3	3.71	apex, node, vertex	
approve		boiler	standalone	kaldron	kaldron		kaldrono	2	3.71	boiler, cauldron, kettle	
approve		digest	standalone	digest	digest		digesti	3	3.71	to digest	
approve	standalone adj (your rule)	linguistic	derived_adj	lingvoscienc	lingvoscienc		lingvoscienca	3	3.71	linguistic	derived adjective — confirm noun anchor / eo_word
approve		macro	standalone	makro	makro		makroo	3	3.71	macro	
approve	standalone adj (your rule)	spontaneous	derived_adj	spontan	spontan,spontane	spontan=spontaneous || spontane=spontaneous	spontana	3	3.71	spontaneous	2 roots collapsed: spontan, spontane; derived adjective — confirm noun anchor / eo_word
approve		apprentice	standalone	metilernant	metilernant		metilernanto	3	3.7	apprentice	
approve	standalone adj (your rule)	bisexual	derived_adj	ambaŭseks	ambaŭseks		ambaŭseksa	2	3.7	bisexual	derived adjective — confirm noun anchor / eo_word
approve		cinnamon	standalone	cinam	cinam		cinamo	2	3.7	cinnamon	
approve		compulsory	standalone	end	end		endi	2	3.7	to be compulsory	
approve		confederate	standalone	konfederaci	konfederaci		konfederacii	3	3.7	to confederate	
approve		delegate	standalone	deleg	deleg		delegi	3	3.7	to delegate	
approve		monarch	standalone	monarĥ	monarĥ		monarĥo	2	3.69	monarch	
approve		mustard	standalone	mustard	mustard		mustardo	3	3.69	mustard	
approve		tinder	standalone	tindr	tindr		tindro	3	3.69	tinder, punk, touchwood	
approve	standalone adj (your rule)	archaeological	derived_adj	arkeologi	arkeologi,arĥeologi	arkeologi=archaeological, archeolo || arĥeologi=archaeological, archeolo	arkeologia	2	3.68	archaeological, archeological	2 roots collapsed: arkeologi, arĥeologi; derived adjective — confirm noun anchor / eo_word
approve		clone	standalone	klon	klon		kloni	2	3.68	to clone	
approve		defect	standalone	ekslojaliĝ	ekslojaliĝ		ekslojaliĝi	2	3.68	to defect	
approve	standalone adj (your rule)	rehearsal	derived_adj	provlud	provlud		provluda	2	3.68	rehearsal	derived adjective — confirm noun anchor / eo_word
approve	standalone adj (your rule)	rigorous	derived_adj	rigor	rigor		rigora	3	3.68	rigorous, stringent	derived adjective — confirm noun anchor / eo_word
approve	standalone adj (your rule)	skeptical	derived_adj	skeptik	skeptik		skeptika	2	3.68	skeptical	derived adjective — confirm noun anchor / eo_word
approve	standalone adj (your rule)	unanimous	derived_adj	unuanim	unuanim		unuanima	2	3.68	unanimous	derived adjective — confirm noun anchor / eo_word
approve		cosmetics	standalone	kosmetik	kosmetik		kosmetiko	2	3.67	cosmetics	
approve	standalone adj (your rule)	inaugural	derived_adj	inaŭgur	inaŭgur		inaŭgura	3	3.67	inaugural	derived adjective — confirm noun anchor / eo_word
approve	standalone adj (your rule)	proprietary	derived_adj	propriet	propriet		proprieta	2	3.67	proprietary	derived adjective — confirm noun anchor / eo_word
approve	standalone adj (your rule)	imperative	derived_adj	ordon	ordon		ordona	3	3.66	imperative	derived adjective — confirm noun anchor / eo_word
approve		maternity	standalone	akuŝ	akuŝ		akuŝo	2	3.66	maternity	
approve	standalone adj (your rule)	peripheral	derived_adj	periferi	periferi		periferia	2	3.66	peripheral	derived adjective — confirm noun anchor / eo_word
approve		duel	standalone	duel	duel		dueli	2	3.65	to duel	
approve		incompetent	standalone	nekompetent	nekompetent		nekompetento	2	3.65	incompetent	
approve		zinc	standalone	zink	zink		zinko	2	3.65	zinc, zincic	
approve		baton	standalone	taktbaston	taktbaston		taktbastono	3	3.64	baton	
approve		camel	standalone	kamel	kamel		kamelo	2	3.64	camel	
approve		dub	standalone	dubl	dubl		dubli	3	3.64	to dub	
approve		query	standalone	informpet	informpet		informpeto	2	3.64	query	
approve		scarlet	standalone	skarlat	skarlat		skarlato	3	3.64	scarlet	
approve		vinegar	standalone	vinagr	vinagr		vinagro	2	3.64	vinegar	
approve		cache	standalone	kaŝmemor	kaŝmemor		kaŝmemoro	2	3.63	cache, caching	
approve		endorse	standalone	viz	viz		vizi	3	3.63	to endorse	
approve		fax	standalone	faks	faks,telefaks	faks=to fax || telefaks=to fax	faksi	3	3.63	to fax	2 roots collapsed: faks, telefaks
approve		gag	standalone	gag	gag		gago	2	3.63	gag	
approve		gill	standalone	brank	brank		branko	3	3.63	gill	
approve	standalone adj (your rule)	inactive	derived_adj	neaktiv	neaktiv		neaktiva	2	3.63	inactive	derived adjective — confirm noun anchor / eo_word
approve		warp	standalone	varp	varp		varpi	3	3.63	to warp	
approve		alpine	standalone	alp	alp		alpo	3	3.62	alpine	
approve		armored	standalone	kiras	kiras		kirasa	2	3.62	armored	
approve		atheist	standalone	ate	ate		ateo	2	3.62	atheist	
approve		caravan	standalone	karavan	karavan		karavano	2	3.62	caravan	
approve		compressed	standalone	densig	densig		densiga	2	3.62	compressed, compression, condensed (font)	
approve		fuse	standalone	meĉ	meĉ		meĉo	3	3.62	fuse, wick	
approve		midfield	standalone	mezkamp	mezkamp		mezkampo	3	3.62	midfield	
approve		rectangular	standalone	rektangul	rektangul		rektangulo	2	3.62	rectangular	
approve		wedge	standalone	kojn	kojn		kojni	3	3.62	to wedge	
