decision	flag	fold	en_word	anchor_root	all_roots	eo_word	eo_pos	proposed_tier	gloss_zipf	inv_tier	prod	gloss	note
	common	standalone	caste	kast	kast	kasto	NOUN	3	3.6	core	4	caste	
	common	standalone	consul	konsul	konsul	konsulo	NOUN	3	3.6	core	3	consul	
	common	derived_adj	nominal	nominal	nominal	nominala	ADJ	3	3.6	extended	2	nominal	derived adjective — confirm noun anchor / eo_word
	common	derived_adj	prolific	produktiv	produktiv	produktiva	ADJ	3	3.6	extended	2	prolific	derived adjective — confirm noun anchor / eo_word
	common	derived_adj	prosperous	prosper	prosper	prospera	ADJ	3	3.6	core	6	prosperous	derived adjective — confirm noun anchor / eo_word
	common	standalone	scholarly	erudici	erudici	erudicio	NOUN	3	3.6	extended	2	scholarly	
	common	standalone	crusade	krucmilit	krucmilit	krucmilito	NOUN	3	3.59	extended	2	crusade	
	common	derived_adj	cynical	cinik	cinik	cinika	ADJ	3	3.59	core	5	cynical	derived adjective — confirm noun anchor / eo_word
	common	standalone	fetish	fetiĉ	fetiĉ	fetiĉo	NOUN	3	3.59	core	3	fetish	
	common	derived_adj	geometric	geometri	geometri	geometria	ADJ	3	3.59	extended	2	geometric	derived adjective — confirm noun anchor / eo_word
	common	standalone	redundant	redund	redund	redundo	NOUN	3	3.59	extended	2	redundant	
	common	derived_adj	unreal	nereal	nereal	nereala	ADJ	3	3.59	extended	2	unreal	derived adjective — confirm noun anchor / eo_word
	common	standalone	adolescent	adolesk	adolesk	adolesko	NOUN	3	3.58	core	7	adolescent	
	common	derived_adj	charcoal	braĝ	braĝ,lignokarb	braĝa	ADJ	3	3.58	extended	2	charcoal	2 roots collapsed: braĝ, lignokarb; derived adjective — confirm noun anchor / eo_word
	common	standalone	dictate	dikt	dikt	dikti	VERB	3	3.58	core	4	to dictate	
	common	derived_adj	electromagnetic	elektromagnet	elektromagnet	elektromagneta	ADJ	3	3.58	extended	2	electromagnetic	derived adjective — confirm noun anchor / eo_word
